,index,isbn,book_title,book_author,year_of_publication,publisher,img_l,Summary,Category,Borrowed
2103,2103,0449910237,Moo,Jane Smiley,1996,Ballantine Books,http://images.amazon.com/images/P/0449910237.01.LZZZZZZZ.jpg,"In urgent need of funds, Moo University, a huge midwestern
agricultural college, and its male-dominated hierarchy search for a
solution to their economic woes",Fiction,148
2104,2104,0451163966,One Flew Over the Cuckoo's Nest,Ken Kesey,1989,Signet Book,http://images.amazon.com/images/P/0451163966.01.LZZZZZZZ.jpg,"The struggle for power between a head nurse and a male patient in a
mental institution leads to a climax of hate, violence and death.",Fiction,105
2105,2105,0452279070,Ragtime,E. L. Doctorow,1997,Plume Books,http://images.amazon.com/images/P/0452279070.01.LZZZZZZZ.jpg,"Doctorow&#39;s big bestseller, made into a major movie and now
repackaged, was first published in mass market paper by Bantam.",Fiction,47
2106,2106,0553096060,Sein Language,JERRY SEINFELD,1993,Bantam,http://images.amazon.com/images/P/0553096060.01.LZZZZZZZ.jpg,"The popular performer presents his unique and trenchant observations
on the American scene, touching on everything from relationships to
Raisinettes",Humor,69
2107,2107,0553380672,Loose Lips,Rita Mae Brown,2000,Bantam,http://images.amazon.com/images/P/0553380672.01.LZZZZZZZ.jpg,"The sequel to Six of One and Bingo continues the adventures of sisters
Julia &quot;Juts&quot; and Louise &quot;Wheezie&quot; Hunsenmeir, as
they patrol the night skies for the Civil Defense and preside over
gossip at the local beauty salon, in a story of ...",Fiction,21
2108,2108,0553569155,Seinlanguage,Jerry Seinfeld,1995,Bantam Books,http://images.amazon.com/images/P/0553569155.01.LZZZZZZZ.jpg,"The popular performer presents his unique and trenchant observations
on a wide variety of subjects, including virgin sacrifice, cow
outfits, Ginsu knives, soap slivers, and suction cups",Humor,105
2109,2109,0553582801,The Man Who Ate the 747,Ben Sherwood,2002,Bantam Books,http://images.amazon.com/images/P/0553582801.01.LZZZZZZZ.jpg,"J. J. Smith loves his job as Keeper of the Records for The Book of
Records, but even he is not prepared for the ultimate record breaker--
a man who is ingesting a 747 piece by piece to prove his love for a
woman. A first novel. Reprint.",Fiction,49
2110,2110,0670839809,Waiting to Exhale,Terry McMillan,1992,Viking Books,http://images.amazon.com/images/P/0670839809.01.LZZZZZZZ.jpg,"Four African-American women console and support one another in a
complex friendship that helps each of them face the middle of her life
as a single woman. 100,000 first printing. Major ad/promo. Tour.",Fiction,33
2111,2111,0671502522,A Holiday Of Love,Judith McNaught,1994,Pocket,http://images.amazon.com/images/P/0671502522.01.LZZZZZZZ.jpg,"A romance anthology includes four holiday short stories that feature
the historical and contemporary works of Judith McNaught, Jude
Deveraux, Jill Barnette, and Arnette Lamb",Fiction,36
2112,2112,0671729411,Flowers In The Attic (Dollanganger),V.C. Andrews,1990,Pocket,http://images.amazon.com/images/P/0671729411.01.LZZZZZZZ.jpg,"A major Lifetime movie event—the novel that captured the world&#39;s
imagination and earned V.C. Andrews a fiercely devoted fanbase. Book
One of the Dollanganger Family series. At the top of the stairs there
are four secrets hidden.",Fiction,73
2113,2113,0679404864,Dave Barry's Guide to Guys: A Fairly Short Book,Dave Barry,1995,Random House Inc,http://images.amazon.com/images/P/0679404864.01.LZZZZZZZ.jpg,"A bawdy guide to understanding the male animal notes the differences
between men and dogs, warns about the threat of male extinction by
feminism and cleanliness standards, and more. 150,000 first printing.
Tour.",Humor,22
2114,2114,0679434046,In the Kitchen With Rosie: Oprah's Favorite Recipes,Rosie Daley,1994,Alfred A. Knopf,http://images.amazon.com/images/P/0679434046.01.LZZZZZZZ.jpg,"With 50 recipes and 8 pages of full-color photographs by Micheal
McLaughlin.",Cooking,51
2115,2115,0679456945,The Ladies' Man,Elinor Lipman,1999,Random House Trade,http://images.amazon.com/images/P/0679456945.01.LZZZZZZZ.jpg,"Thirty years after abandoning his intended bride at their engagement
party, a charming Harvey Nash shows up on the doorstep of his former
fiancTe and her sisters, all spinsters, and soon discovers that
scorned women do not make the most ...",Fiction,32
2116,2116,0679457526,Into Thin Air : A Personal Account of the Mount Everest Disaster,JON KRAKAUER,1997,Villard,http://images.amazon.com/images/P/0679457526.01.LZZZZZZZ.jpg,"The author describes his spring 1996 trek to Mt. Everest, a disastrous
expedition that claimed the lives of eight climbers, and explains why
he survived",Biography Autobiography,66
2117,2117,0679762108,The Sportswriter (Vintage Contemporaries),Richard Ford,1995,Vintage Books USA,http://images.amazon.com/images/P/0679762108.01.LZZZZZZZ.jpg,"At the beginning of his career, Frank Bascombe gives up his chance to
become a successful novelist in order to work as a sportswriter. By
the author of A Piece of My Heart. Reissue.",Fiction,29
2118,2118,068482440X,BEACHCOMBING FOR A SHIPWRECKED GOD,Joe Coomer,1997,Touchstone,http://images.amazon.com/images/P/068482440X.01.LZZZZZZZ.jpg,"Three women set out on an open-sea voyage to Prince Edward Island in
an attempt to escape the unpleasant circumstances of their lives",Fiction,21
2119,2119,0688168248,The Book Borrower: A Novel,Alice Mattison,1999,Harpercollins,http://images.amazon.com/images/P/0688168248.01.LZZZZZZZ.jpg,"A book about a trolley strike lent from one friend to the other plays
an unexpected role in the long and difficult friendship of Toby Ruben
and Deborah Laidlaw",Fiction,51
2120,2120,0688177026,Best Friends,Mqp Creative,2000,HarperResource,http://images.amazon.com/images/P/0688177026.01.LZZZZZZZ.jpg,"A stylish collection of timeless photographs from the Hulton Getty
Picture collection perfectly complemented with classic quotations
about friends and friendship from Lord Byron to Bette Davis and from
Walt Whitman to Richard Burton.",Family Relationships,33
2121,2121,078688908X,Chain of Evidence,Ridley Pearson,1997,Hyperion,http://images.amazon.com/images/P/078688908X.01.LZZZZZZZ.jpg,"Detective Joe &quot;Dart&quot; Dartelli fears that the mysterious
murders of a succession of wife beaters may be the work of his former
mentor, a brilliant forensics expert who lost his own wife to a
vicious killer. Reprint. AB. PW. NYT.",Fiction,30
2122,2122,0804120021,Out of Sight,CHERRY ADAIR,2003,Ivy Books,http://images.amazon.com/images/P/0804120021.01.LZZZZZZZ.jpg,"Determined to prove herself to her handsome instructor, Kane Wright,
by taking on a difficult assignment, T-FLAC operative A.J. Cooper is
unaware of Kane&#39;s feelings for her as they pursue the mad
mastermind of a deadly conspiracy.",Fiction,27
2123,2123,0805029648,Dave Barry's Bad Habits a 100% Fact-Free Book,Dave Barry,1993,Henry Holt & Company,http://images.amazon.com/images/P/0805029648.01.LZZZZZZZ.jpg,"If you&#39;re not already acquainted--nay, infatuated--with the works
of the man who the New York Times calls &quot;the funniest man in
America,&quot; you can get cracking right now with this all-time
favorite collection of Dave Barry&#39;s humor columns.",Humor,24
2124,2124,0812534832,Demons Don't Dream (Xanth),Piers Anthony,1994,Tor Books,http://images.amazon.com/images/P/0812534832.01.LZZZZZZZ.jpg,"Two young adventurers are drawn into the world of Xanth through a
computer game and find themselves in a desperate race against time
when treachery, danger, and deceit place Xanth itself in peril, as
they learn that some things are more ...",Fiction,29
2125,2125,082177462X,Kentucky Sunrise,Fern Michaels,2003,Zebra Books (Mass Market),http://images.amazon.com/images/P/082177462X.01.LZZZZZZZ.jpg,"In Fern Michaels&#39;s thrilling finale to the series that has
reunited the Coleman and Thornton families, tough-as-nails horsewoman
Nealy Coleman Diamond faces her greatest challenge.",Fiction,34
2126,2126,0836218310,Far Side Gallery 3 Paperback,Gary Larson,1988,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836218310.01.LZZZZZZZ.jpg,"1988 FarWorks, Inc. All Rights Reserved. The Far Side and the Larson
signature are registered trademarks of FarWorks, Inc.",Humor,22
2127,2127,0836220870,"Hound Of The Far Side (Far Side Books, Collection No 7)",Gary Larson,1987,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836220870.01.LZZZZZZZ.jpg,"1987 FarWorks, Inc. All Rights Reserved. The Far Side and the Larson
signature are registered trademarks of FarWorks, Inc.",Humor,35
2128,2128,0877017883,Griffin & Sabine: An Extraordinary Correspondence,Nick Bantock,1991,Chronicle Books,http://images.amazon.com/images/P/0877017883.01.LZZZZZZZ.jpg,"Don&#39;t miss The Pharos Gate, the final volume in the Griffin &amp;
Sabine story. Published simultaneously with the 25th-anniversary
edition of Griffin &amp; Sabine, the book finally shares what happened
to the lovers.",Fiction,67
2129,2129,0890876517,Creative Companion: How to Free Your Creative Spirit,Sark,1991,Celestial Arts,http://images.amazon.com/images/P/0890876517.01.LZZZZZZZ.jpg,"A creative companion breaks down adult barriers to self-expression and
invites the reader to open the treasure chest of the self and shake
off the dust.",Psychology,24
2130,2130,1556618662,"The Shunning (Heritage of Lancaster County/Beverly Lewis, 1)",Beverly Lewis,1997,Bethany House Publishers,http://images.amazon.com/images/P/1556618662.01.LZZZZZZZ.jpg,"All Her Life She Has Longed For The Forbidden Things, But Will Her
Dreams Come At A Price Too Dear To Pay?",Fiction,23
2131,2131,156947012X,The Liar,Stephen Fry,1994,Soho Press,http://images.amazon.com/images/P/156947012X.01.LZZZZZZZ.jpg,"An irresistible novel by multi-talented Stephen Fry, author, film and
television star, playwright and newspaper columnist.",Fiction,20
2132,2132,1573229725,Fingersmith,Sarah Waters,2002,Riverhead Books,http://images.amazon.com/images/P/1573229725.01.LZZZZZZZ.jpg,"Growing up as a foster child among a family of thieves, orphan Sue
Trinder hopes to pay back that kindness by playing a key role in a
swindle scheme devised by their leader, Gentleman, who is planning to
con a fortune out of the naive Maud ...",Fiction,103
2133,2133,0345441265,The Ladies Auxiliary (Ballantine Reader's Circle),Tova Mirvis,2000,Ballantine Books,http://images.amazon.com/images/P/0345441265.01.LZZZZZZZ.jpg,"Follows the uneasy movement of Batsheva--a newly widowed convert to
the Jewish faith--as she and her five-year-old daughter, Ayala,
unwittingly stir up trouble in the community.",Fiction,58
2134,2134,0525947299,No Second  Chance,Harlan Coben,2003,Dutton Books,http://images.amazon.com/images/P/0525947299.01.LZZZZZZZ.jpg,"Injured by an unknown shooter who has killed his wife and abducted his
baby daughter, surgeon Marc Seidman struggles with limited options
when he receives a ransom note that he will never see his daughter
again if he contacts the police.",Fiction,68
2135,2135,0671038443,The Devil's Teardrop,Jeffery Deaver,2000,Pocket,http://images.amazon.com/images/P/0671038443.01.LZZZZZZZ.jpg,"New Year&#39;s Eve, 1999.",Fiction,84
2136,2136,0804119430,Horse Heaven,JANE SMILEY,2003,Ballantine Books,http://images.amazon.com/images/P/0804119430.01.LZZZZZZZ.jpg,"Set in the exciting world of thoroughbred racing, this lavishly
detailed novel by the author of A Thousand Acres follows a group of
trainers, jockeys, and &quot;track brats&quot; on a two-year journey
through the racing cycle. Reprint.",Fiction,31
2137,2137,0070064547,Motherhood: The Second Oldest Profession,Erma Bombeck,1983,McGraw-Hill,http://images.amazon.com/images/P/0070064547.01.LZZZZZZZ.jpg,"This kit is for caregivers who want to provide brain-related
activities for seniors diagnosed with Alzheimers or Dementia.",Social Science,24
2138,2138,0553213806,Dubliners,James Joyce,1990,Bantam Classics,http://images.amazon.com/images/P/0553213806.01.LZZZZZZZ.jpg,"Reissue. In Dubliners, Joyce paints vivid portraits of the denizens of
the city of his birth, from the young boy encountering death in the
first story. &quot;The Sisters,&quot; to the middle-aged Gabriel of
the haunting final story, &quot;The Dead.",Fiction,35
2139,2139,0804118558,A Breach of Promise (William Monk Novels (Paperback)),Anne Perry,1999,Ivy Books,http://images.amazon.com/images/P/0804118558.01.LZZZZZZZ.jpg,"In Victorian London, investigator William Monk and his assistant,
nurse Hester Latterly, plunge into a case involving a wealthy family,
a beautiful daughter, a reluctant fiance, and murder",Fiction,33
2140,2140,0743428668,Into the Woods,V.C. Andrews,2002,Pocket,http://images.amazon.com/images/P/0743428668.01.LZZZZZZZ.jpg,"In the chilling conclusion of the De Beers saga, Grace Houston, an
only child, finds her world torn apart by the death of her father and
her mother&#39;s remarriage to Kirby Scott, a scheming fortune-hunter
with his eye on the vulnerable and ...",Fiction,37
2141,2141,0345435273,A Caress of Twilight (Meredith Gentry Novels (Hardcover)),LAURELL K. HAMILTON,2002,Ballantine Books,http://images.amazon.com/images/P/0345435273.01.LZZZZZZZ.jpg,"Faerie princess-turned-detective Meredith Gentry desperately tries to
outwit a clever killer sent by her rival for the dark throne of an
exotic kingdom, an investigation that plunges her into the seedy
underworld of Los Angeles and the faux ...",Fiction,28
2142,2142,0380802325,Suddenly You,Lisa Kleypas,2001,Avon,http://images.amazon.com/images/P/0380802325.01.LZZZZZZZ.jpg,"She was unmarried, untouched and almost thirty, but novelist Amanda
Briars wasn′t about to greet her next birthday without making love to
a man.",Fiction,40
2143,2143,0380814803,The Pursuit (Avon Historical Romance),Johanna Lindsey,2003,Avon,http://images.amazon.com/images/P/0380814803.01.LZZZZZZZ.jpg,"But there are serious obstacles impeding the well-smitten Viscount
Cambury&#39;s pursuit of glorious romance: sixteen of them -- all big
and brawny, six named Ian and all named MacFearson.",Fiction,46
2144,2144,0515129224,Soft Focus,Jayne Ann Krentz,2000,Jove Books,http://images.amazon.com/images/P/0515129224.01.LZZZZZZZ.jpg,"Businesswoman Elizabeth Cabot decides to end her romantic relationship
with Jack Fairfax when she learns he has deceived her, but
disentangling herself from their business relationship proves much
trickier. Reprint.",Fiction,40
2145,2145,0553572040,Killer Pancake,Diane Mott Davidson,1996,Crimeline,http://images.amazon.com/images/P/0553572040.01.LZZZZZZZ.jpg,"Caterer and amateur sleuth Goldy B. Schulz gets caught between a
ruthless cosmetic company and a violent animal rights group Featuring
Original Recipes for Such Luscious (and Lowfat) Dishes as Fettuccine
Alfredo with Asparagus, Decadent ...",Fiction,65
2146,2146,0671035460,Pale Horse Coming,Stephen Hunter,2002,Pocket,http://images.amazon.com/images/P/0671035460.01.LZZZZZZZ.jpg,"Pale Horse Coming, featuring Stephen Hunter’s beloved sniper heroes
Earl and Bob Lee Swagger, the first of eleven Swagger thrillers from
the Pulitzer Prize–winning author.",Fiction,22
2147,2147,0373790899,"By the Book (Harlequin Blaze, No 85)",Nancy Warren,2003,Harlequin,http://images.amazon.com/images/P/0373790899.01.LZZZZZZZ.jpg,"By The Book by Nancy Warren released on Apr 24, 2003 is available now
for purchase.",Fiction,41
2148,2148,0515136549,The Sherbrooke Twins,Catherine Coulter,2004,Jove Books,http://images.amazon.com/images/P/0515136549.01.LZZZZZZZ.jpg,"The romantic adventures of the colorful members of the Sherbrooke
family continue in the story of twin brothers James and Jason
Sherbrooke. Original.",Fiction,26
2149,2149,0671871005,The WEDDING,Julie Garwood,1997,Pocket Star,http://images.amazon.com/images/P/0671871005.01.LZZZZZZZ.jpg,"Kidnapped by warrior leader Connor MacAlister, who forces her to marry
him as part of his revenge against her betrothed, Brenna remembers her
childhood feelings for him and wonders if MacAlister will ever love
her. Reprint.",Fiction,35
2150,2150,0778320286,Changing Habits (Mira),Debbie Macomber,2004,Mira,http://images.amazon.com/images/P/0778320286.01.LZZZZZZZ.jpg,"A novel of faith and self-discovery follows three women--all of whom
join an order of nuns, and then leave--as they each embark on
extraordinary journeys to discover their true place in the world.",Fiction,28
2151,2151,0812571797,The Secret,Harold Robbins,2001,Forge,http://images.amazon.com/images/P/0812571797.01.LZZZZZZZ.jpg,"The world&#39;s bestselling novelist is back with The Secret, a steamy
novel chronicling the meteoric rise of a lingerie chain.",Fiction,91
2152,2152,0515121843,Sea Swept (Quinn Brothers (Paperback)),Nora Roberts,2001,Jove Books,http://images.amazon.com/images/P/0515121843.01.LZZZZZZZ.jpg,"Cameron, a champion boat racer, returns home to the Maryland shore at
the behest of his dying father to care for Seth, a troubled young boy",Fiction,115
2153,2153,0553583980,True Blue,Luanne Rice,2002,Bantam Books,http://images.amazon.com/images/P/0553583980.01.LZZZZZZZ.jpg,"Schoolteacher Rumer Larkin finds her peaceful life in the rustic
Connecticut beach town of Hubbard&#39;s Point turned upside down by
the return of Zeb Mayhew, the man who had once broken her heart, who
is accompanied by his teenage son and who ...",Fiction,90
2154,2154,0399147195,P Is for Peril (Kinsey Millhone Mysteries (Hardcover)),Sue Grafton,2001,Putnam Publishing Group,http://images.amazon.com/images/P/0399147195.01.LZZZZZZZ.jpg,"Kinsey Millhone trusts her life to her instincts as her investigation
into the disappearance of a renowned physician takes her into a dark
and dangerous world of duplicity, betrayal, and double-dealing, in the
noir-influenced novel by the ...",Fiction,113
2155,2155,0515136263,Chesapeake Blue,Nora Roberts,2004,Jove Books,http://images.amazon.com/images/P/0515136263.01.LZZZZZZZ.jpg,"Nora Roberts returns to Chesapeake Bay and her beloved Quinn family
for the long-awaited conclusion to the breathtaking drama that began
with &quot;Sea Swept, Rising Tides&quot; and &quot;Inner Harbor.&quot;",Fiction,48
2156,2156,0380725827,Firestorm (Anna Pigeon Mysteries (Paperback)),Nevada Barr,1997,Avon,http://images.amazon.com/images/P/0380725827.01.LZZZZZZZ.jpg,"Park ranger Anna Pigion and her companions discover a slain
firefighter in a Northern California park, sending them on a search
for a murderer in the midst of a winter firestorm",Fiction,49
2157,2157,0553579312,Dreaming of the Bones,Deborah Crombie,1998,Bantam,http://images.amazon.com/images/P/0553579312.01.LZZZZZZZ.jpg,"When a talented poet is found dead, a suspected suicide, her
biographer asks her ex-husband, Scotland Yard Superintendent Duncan
Kincaid, and Sergeant Gemma Jones to prove a case of murder, but
Kincaid and Jones soon discover startling news ...",Fiction,25
2158,2158,0385306024,Accident,Danielle Steel,1994,Delacorte Press,http://images.amazon.com/images/P/0385306024.01.LZZZZZZZ.jpg,"Happy housewife Page Clarke finds her life changed forever when her
teenaged daughter, Allyson, is in a car accident, and, without her
husband Brad there to lean on, Page turns to handsome Trygve, whose
own daughter was also injured",Fiction,118
2159,2159,0440220696,Invasion of Privacy,PERRI O'SHAUGHNESSY,1997,Dell,http://images.amazon.com/images/P/0440220696.01.LZZZZZZZ.jpg,"Defending a filmmaker friend who has been charged with invasion of
privacy, attorney Nina Reilly learns that her friend&#39;s new
documentary holds a crucial clue to a decades-old murder mystery",Fiction,45
2160,2160,044023574X,After the Fire,Belva Plain,2001,Dell Publishing Company,http://images.amazon.com/images/P/044023574X.01.LZZZZZZZ.jpg,"A woman goes through an agonizing child custody battle after the
breakup of her marriage to a successful plastic surgeon.",Fiction,79
2161,2161,0440500729,Star,Danielle Steel,1989,Delacorte Press,http://images.amazon.com/images/P/0440500729.01.LZZZZZZZ.jpg,"The lives of three individuals--singing star Crystal Wyatt, power-
hungry Elizabeth Barclay, and lawyer Spencer Hill--intertwine
personally and professionally as these three ambitious figures pursue
their goals",Fiction,65
2162,2162,0446604844,Total Control,David Baldacci,1997,Warner Books,http://images.amazon.com/images/P/0446604844.01.LZZZZZZZ.jpg,"When Sidney Archer&#39;s perfect life is shattered by the death of her
husband, Jason Archer, in a plane crash, she learns that her husband
might still be alive and involved in a deadly and powerful game that
could topple the government.",Fiction,119
2163,2163,0553575104,In Pursuit of the Proper Sinner,Elizabeth George,2000,Bantam Books,http://images.amazon.com/images/P/0553575104.01.LZZZZZZZ.jpg,"An intricately woven tapestry of passion, loyalty, and betrayal has
Detectives Thomas Lynley and Barbara Havers of New Scotland Yard
investigating the brutal murder of two people whose bodies were
discovered in the dark circle of Nine ...",Fiction,76
2164,2164,0553581767,Manhattan Is My Beat,JEFFERY DEAVER,2000,Bantam,http://images.amazon.com/images/P/0553581767.01.LZZZZZZZ.jpg,"Certain that a 1940s hard-boiled detective film--rented frequently by
the victim before his death--holds the key to the identity of his
murderer, Rune the spunky clerk in a video store, investigates the
crime, in a revised edition of Deaver ...",Fiction,25
2165,2165,067943612X,Recessional,James A. Michener,1994,Random House Inc,http://images.amazon.com/images/P/067943612X.01.LZZZZZZZ.jpg,"A fictional portrait of the challenges, dreams, triumphs, and
relationships of older adults and their families follows the residents
of the Palms, a Florida retirement center, over the course of a
single, unforgettable year. 150,000 first ...",Fiction,32
2166,2166,0743410599,Scandalous (Banning Sisters Trilogy),Karen Robards,2001,Pocket,http://images.amazon.com/images/P/0743410599.01.LZZZZZZZ.jpg,"Faced with poverty after the death of her half-brother, the Earl of
Wickham, on his Ceylon tea plantation, Lady Gabriella Banning plans to
secure the future of her two younger sisters--Claire and Elizabeth--by
marrying off Claire to a ...",Fiction,30
2167,2167,0743437802,The Stone Monkey (Lincoln Rhyme Novels (Paperback)),Jeffery Deaver,2003,Pocket,http://images.amazon.com/images/P/0743437802.01.LZZZZZZZ.jpg,"When a smuggler known as the Ghost scuttles a ship filled with
undocumented Chinese immigrants right outside New York harbor,
detective Lincoln Rhyme and his partner must stop him before he
murders the two families who made it to shore.",Fiction,96
2168,2168,0786884592,"Life Strategies: Doing What Works, Doing What Matters",Phillip C. McGraw,2000,Hyperion,http://images.amazon.com/images/P/0786884592.01.LZZZZZZZ.jpg,"No, this is pull-yourself-up-by-the- bootstraps advice from someone
who&#39;s done just that.",Self Help,78
2169,2169,0849911788,The Oath: A Novel,Frank Peretti,1995,W Publishing Group,http://images.amazon.com/images/P/0849911788.01.LZZZZZZZ.jpg,"Unconvinced that his brother was really killed by a bear while camping
in the Pacific Northwest, Steve Benson, a wildlife biologist, decides
to investigate on his own, and discovers a town controlled by evil",Fiction,24
2170,2170,0880382651,"Time of the Twins Legends 1 (Dragonlance Legends Trilogy, Vol 1)",Margaret Weis,1986,Random House~childrens,http://images.amazon.com/images/P/0880382651.01.LZZZZZZZ.jpg,"The first title in the second Dragonlance novel trilogy is now
available for the first time in hardcover.",Fiction,24
2171,2171,0345426037,The Broken Hearts Club (Conrad Voort Novels (Paperback)),Ethan Black,2000,Ballantine Books,http://images.amazon.com/images/P/0345426037.01.LZZZZZZZ.jpg,"Known as &quot;the richest cop in New York,&quot; Detective Conrad
Voort races against time to catch an elusive serial killer, an
investigation that leads him to an informal group of men whose only
connection lies in their unsuccessful love lives.",Fiction,27
2172,2172,0671887971,Ring of Truth,Nancy Pickard,2001,Atria,http://images.amazon.com/images/P/0671887971.01.LZZZZZZZ.jpg,"True-crime writer Marie Lightfoot heads to Florida to investigate a
bizarre case in which a minister is convicted of killing his wife in
collusion with his lover, a crime in which his lover walks free.",Fiction,23
2173,2173,0671038567,Body of Evidence,Patricia Cornwell,1999,Pocket,http://images.amazon.com/images/P/0671038567.01.LZZZZZZZ.jpg,"Chief Medical Examiner Kay Scarpetta investigates the murder of a
reclusive author and discovers that forensic pathology is more than
laboratory work when she becomes involved in a dangerous criminal
investigation.",Fiction,58
2174,2174,0425188213,Shades of Earl Grey (A Tea Shop Mystery),Laura Childs,2003,Prime Crime,http://images.amazon.com/images/P/0425188213.01.LZZZZZZZ.jpg,"While attending a high society engagement party, Indigo Tea Shop owner
Theodosia Browning is steeped in mystery when the groom meets with
disaster and the wedding ring, a family heirloom from the crown of
Marie Antoinette, vanishes.",Fiction,22
2175,2175,0446365386,Gone with the Wind,Margaret Mitchell,1993,Warner Books,http://images.amazon.com/images/P/0446365386.01.LZZZZZZZ.jpg,"Spoiled Southern belle Scarlett O&#39;Hara never stops loving the
married Ashley Wilkes even as she faces the hardships of life during
the Civil War and the changes brought about by Reconstruction The
greatest love story of our time, the story ...",Fiction,79
2176,2176,055321330X,The Awakening,Kate Chopin,1985,Bantam,http://images.amazon.com/images/P/055321330X.01.LZZZZZZZ.jpg,"When a Louisiana woman meets a young resort owner while on vacation,
she begins to fall in love with him despite her own marriage, in a
sensuous short novel, first published in 1899, that is accompanied by
a selection of short fiction by ...",Fiction,68
2177,2177,0446527017,Standoff,Sandra Brown,2000,Warner Books,http://images.amazon.com/images/P/0446527017.01.LZZZZZZZ.jpg,"Immediately, she ditches her holiday to chase down the story that
could make her career. But in a town called Rojo Flats, an innocuous
stop at a convenience store thrusts her directly into the unfolding
story -- and a dangerous crime drama.",Fiction,57
2178,2178,0425100650,Twilight Eyes,Dean R. Koontz,1995,Berkley Publishing Group,http://images.amazon.com/images/P/0425100650.01.LZZZZZZZ.jpg,"Sought by the police for murder, Slim Mackenzie, a young man both
blessed and cursed by &quot;twilight eyes,&quot; stalks the diabolical
&quot;Others,&quot; who feed their twisted needs with human suffering.
Reissue.",Fiction,76
2179,2179,0671047329,The Third Option,Vince Flynn,2001,Pocket Star,http://images.amazon.com/images/P/0671047329.01.LZZZZZZZ.jpg,"CIA counterterrorism expert Mitch Rapp is sent on a mission to stop a
German industrialist selling sensitive materials to a terrorist
sponsor, unaware that he is being set up by forces in Washington who
will do anything to see him fail.",Fiction,49
2180,2180,0380774933,Keeper of the Heart,Johanna Lindsey,1993,Avon,http://images.amazon.com/images/P/0380774933.01.LZZZZZZZ.jpg,"And though the heavens themselves conspire against him, he will pursue
his sensuous prize, and brave any peril to conquer and claim the
keeper of his heart.",Fiction,32
2181,2181,0451451155,Tigana,Guy Gavriel Kay,1994,Roc,http://images.amazon.com/images/P/0451451155.01.LZZZZZZZ.jpg,"Allesan, son of the king of Tigana, and other survivors of the
forgotten world band together to plot the demise of Brandin of Ygrath",Fiction,34
2182,2182,0345388593,Angel,Barbara Taylor Bradford,1995,Ballantine Books,http://images.amazon.com/images/P/0345388593.01.LZZZZZZZ.jpg,"Bound by a deep loyalty and a shared childhood as orphans, Rosie,
Kevin, Gavin, and Nell pledge always to be there for one another--a
promise that each finds difficult to keep. Reprint. ANGEL Told with
the power that only",Fiction,60
2183,2183,0440202507,Wild Mountain Thyme,Rosamunde Pilcher,1989,Dell Publishing Company,http://images.amazon.com/images/P/0440202507.01.LZZZZZZZ.jpg,"Two years after playwright Oliver Dobbs abandons her in pursuit of
fame and success, Victoria agrees to flee with him, almost against her
will, to the Highlands of Scotland and to a future filled with
uncertainty",Fiction,48
2184,2184,0515125628,The Target,Catherine Coulter,1999,Jove Books,http://images.amazon.com/images/P/0515125628.01.LZZZZZZZ.jpg,"Ramsey Hunt&#39;s solitary, isolated life in the Rockies is shattered
when he finds a small, mute girl in the forest and is pursued by her
mysterious kidnappers",Fiction,71
2185,2185,0515131741,Lost and Found,Jayne Ann Krentz,2001,Jove Books,http://images.amazon.com/images/P/0515131741.01.LZZZZZZZ.jpg,"The author of Soft Focus serves up another tale of suspense and
romance, introducing Cady Briggs, an attractive young art expert, and
Mack Easton, owner of a shadowy company, Lost and Found, that searches
out missing treasures for wealthy ...",Fiction,71
2186,2186,0515136182,Light in Shadow,Jayne Ann Krentz,2003,Jove Books,http://images.amazon.com/images/P/0515136182.01.LZZZZZZZ.jpg,"Suspecting that a new client is hiding a dark secret, home decorator
Zoe Luce enlists the help of investigator Ethan Truax, with whom she
falls in love despite the dark secrets of her past that could destroy
their budding romance.",Fiction,44
2187,2187,0380711524,See Jane Run,Joy Fielding,1992,Avon,http://images.amazon.com/images/P/0380711524.01.LZZZZZZZ.jpg,Jane Whittaker has awakened to a nightmare.,Fiction,46
2188,2188,0451628039,Mythology,Edith Hamilton,1991,Signet Book,http://images.amazon.com/images/P/0451628039.01.LZZZZZZZ.jpg,Includes a brief section on Norse mythology.,Fiction,29
2189,2189,0553280368,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1987,Bantam,http://images.amazon.com/images/P/0553280368.01.LZZZZZZZ.jpg,"Fearing that the assailant who had once tried to kill him--and had
left him badly scarred and partially amnesiac--would again try to
murder him, Bobby Callahan turns to Kinsey Millhone for help",Fiction,173
2190,2190,155166545X,House On Olive Street,Robyn Carr,1999,Mira,http://images.amazon.com/images/P/155166545X.01.LZZZZZZZ.jpg,"After the death of a close friend, Elly, Sable, Barbara Ann, and Beth
gather at her house for a weekend to sort through her personal papers,
as well as to come to terms with what their own lives have become.
Original.",Fiction,21
2191,2191,0553212923,Hamlet (Bantam Classics),William Shakespeare,1988,Bantam,http://images.amazon.com/images/P/0553212923.01.LZZZZZZZ.jpg,"When the ghost of his father appears to Prince Hamlet of Denmark,
urging him to avenge his murder upon his uncle, the tragic flaw of
indecision leads Hamlet to ruin",Drama,20
